,precision,recall,f1-score,support
Apple_Apple_Scab,1.0,1.0,1.0,203.0
Apple_Black_Rot,1.0,1.0,1.0,200.0
Apple_Cedar_Apple_Rust,1.0,1.0,1.0,176.0
Apple_Healthy,1.0,1.0,1.0,200.0
Corn_Cercospora_Leaf_Spot_Gray_Leaf_Spot,0.8294117647058824,0.8545454545454545,0.8417910447761194,165.0
Corn_Common_Rust,1.0,0.9953488372093023,0.9976689976689976,215.0
Corn_Gray_Leaf_Spot,0.48936170212765956,0.4423076923076923,0.46464646464646464,52.0
Corn_Healthy,1.0,1.0,1.0,209.0
Corn_Northern_Leaf_Blight,0.985981308411215,0.9906103286384976,0.9882903981264637,213.0
Grape_Black_Rot,1.0,1.0,1.0,190.0
Grape_Esca_(Black_Measles),1.0,1.0,1.0,192.0
Grape_Healthy,1.0,1.0,1.0,170.0
Grape_Leaf_Blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,173.0
Orange_Haunglongbing_(Citrus_Greening),1.0,1.0,1.0,201.0
"Pepper,_Bacterial_Spot",0.8116883116883117,0.6510416666666666,0.7225433526011561,192.0
"Pepper,_Healthy",0.987012987012987,0.38,0.5487364620938628,200.0
Pepper_Bacterial_Spot,0.5142857142857142,0.7128712871287128,0.5975103734439834,101.0
Pepper_Healthy,0.5461254612546126,0.9932885906040269,0.7047619047619048,149.0
Potato_Early_Blight,1.0,1.0,1.0,216.0
Potato_Healthy,1.0,1.0,1.0,186.0
Potato_Late_Blight,1.0,0.9953271028037384,0.9976580796252927,214.0
Raspberry_Healthy,1.0,1.0,1.0,179.0
Rice_Brown_Spot,0.8,0.7741935483870968,0.7868852459016393,62.0
Rice_Healthy,0.8862275449101796,0.9866666666666667,0.9337539432176656,150.0
Rice_Leaf_Blast,0.8941176470588236,0.7676767676767676,0.8260869565217391,99.0
Rice_Neck_Blast,1.0,1.0,1.0,100.0
Soybean_Healthy,1.0,0.9950738916256158,0.9975308641975309,203.0
Squash_Powdery_Mildew,1.0,1.0,1.0,175.0
Strawberry_Leaf_Scorch,1.0,1.0,1.0,178.0
Sugarcane_Bacterial_Blight,0.8333333333333334,1.0,0.9090909090909091,10.0
Sugarcane_Healthy,1.0,1.0,1.0,10.0
Sugarcane_Red_Rot,1.0,0.8,0.8888888888888888,10.0
Tomato_Bacterial_Spot,0.9953488372093023,1.0,0.9976689976689976,214.0
Tomato_Early_Blight,0.9801980198019802,0.99,0.9850746268656716,100.0
Tomato_Healthy,1.0,1.0,1.0,159.0
Tomato_Late_Blight,0.9947368421052631,0.9895287958115183,0.9921259842519685,191.0
Tomato_Leaf_Mold,1.0,1.0,1.0,96.0
Tomato_Septoria_Leaf_Spot,0.994413407821229,1.0,0.9971988795518207,178.0
Tomato_Spider_Mites_Two_Spotted_Spider_Mite,1.0,1.0,1.0,169.0
Tomato_Target_Spot,0.9929078014184397,0.9929078014184397,0.9929078014184397,141.0
Tomato_Tomato_Mosaic_Virus,1.0,1.0,1.0,38.0
Tomato_Tomato_Yellow_Leaf_Curl_Virus,1.0,0.9968944099378882,0.9984447900466563,322.0
Wheat_Brown_Rust,1.0,1.0,1.0,91.0
Wheat_Healthy,1.0,1.0,1.0,113.0
Wheat_Yellow_Rust,1.0,1.0,1.0,93.0
accuracy,0.9528848941722239,0.9528848941722239,0.9528848941722239,0.9528848941722239
macro avg,0.9452255707365541,0.9401840631428462,0.9370947770081373,6898.0
weighted avg,0.9622044014498697,0.9528848941722239,0.9515817349240399,6898.0
