Class,Accuracy,Support
"Pepper,_Healthy",0.38,200
Corn_Gray_Leaf_Spot,0.4423,52
"Pepper,_Bacterial_Spot",0.651,192
Pepper_Bacterial_Spot,0.7129,101
Rice_Leaf_Blast,0.7677,99
Rice_Brown_Spot,0.7742,62
Sugarcane_Red_Rot,0.8,10
Corn_Cercospora_Leaf_Spot_Gray_Leaf_Spot,0.8545,165
Rice_Healthy,0.9867,150
Tomato_Late_Blight,0.9895,191
Tomato_Early_Blight,0.99,100
Corn_Northern_Leaf_Blight,0.9906,213
Tomato_Target_Spot,0.9929,141
Pepper_Healthy,0.9933,149
Soybean_Healthy,0.9951,203
Potato_Late_Blight,0.9953,214
Corn_Common_Rust,0.9953,215
Tomato_Tomato_Yellow_Leaf_Curl_Virus,0.9969,322
Grape_Esca_(Black_Measles),1.0,192
Grape_Healthy,1.0,170
Grape_Leaf_Blight_(Isariopsis_Leaf_Spot),1.0,173
Orange_Haunglongbing_(Citrus_Greening),1.0,201
Apple_Black_Rot,1.0,200
Corn_Healthy,1.0,209
Raspberry_Healthy,1.0,179
Potato_Healthy,1.0,186
Potato_Early_Blight,1.0,216
Rice_Neck_Blast,1.0,100
Grape_Black_Rot,1.0,190
Apple_Cedar_Apple_Rust,1.0,176
Apple_Healthy,1.0,200
Apple_Apple_Scab,1.0,203
Sugarcane_Healthy,1.0,10
Sugarcane_Bacterial_Blight,1.0,10
Strawberry_Leaf_Scorch,1.0,178
Squash_Powdery_Mildew,1.0,175
Tomato_Healthy,1.0,159
Tomato_Leaf_Mold,1.0,96
Tomato_Septoria_Leaf_Spot,1.0,178
Tomato_Bacterial_Spot,1.0,214
Tomato_Spider_Mites_Two_Spotted_Spider_Mite,1.0,169
Tomato_Tomato_Mosaic_Virus,1.0,38
Wheat_Brown_Rust,1.0,91
Wheat_Healthy,1.0,113
Wheat_Yellow_Rust,1.0,93
